9/30/2016,9/30/2017,9/30/2018,9/30/2019,9/30/2020,% of Inc,State,Population,Median Age,Household Income,Income Ratio
308459.5,316272.75,319276.0,332741.75,332180.5,0.07436357548152317,AK,738516.0,34.0,76715.0,4.161845792869713
112818.80952380953,116453.80952380953,122060.90476190475,127214.42857142855,135227.47619047618,0.19049128498412987,AL,4864680.0,38.9,48486.0,2.517446371362966
91220.9,94984.8,98921.95,103107.4,106684.9,0.1654654186178056,AR,2990671.0,37.9,45726.0,2.1633632944058085
191720.18181818182,203693.0909090909,217927.63636363635,230183.27272727274,248400.0,0.29503448721776576,AZ,6946685.0,37.4,56213.0,3.876819176411797
396921.45454545453,421064.2647058824,452449.38235294115,452734.3529411765,480126.7941176471,0.2308776679418976,CA,39148760.0,36.3,71228.0,6.3521281287266405
348916.35294117645,372094.17647058825,397796.70588235295,414621.0,427329.9411764706,0.2337379441705542,CO,5531141.0,36.6,68811.0,5.78100457604675
284310.4,294524.2,299656.8,300244.8,317361.6,0.1268123467849179,CT,3581504.0,40.8,76106.0,3.9373610490631488
402366.0,417469.0,432261.0,443640.0,469854.0,0.16772788953340978,DC,684498.0,33.9,82604.0,5.232930608687231
218475.0,224679.5,235088.5,243079.0,256360.5,0.17414756025900058,DE,949495.0,40.2,65627.0,3.5821917808219177
193960.96551724142,205772.2068965517,217678.93103448272,225917.93103448272,238672.2068965517,0.2617341842392521,FL,20598139.0,41.9,53267.0,4.086562619154124
113790.0,119690.1891891892,127382.0,134004.40540540538,138038.97297297296,0.20579951084296425,GA,10297484.0,36.5,55679.0,2.287792525009429
565068.0,592967.75,619058.0,633328.5,651660.25,0.15679433416012972,HI,1422029.0,38.9,78084.0,7.928103068490343
132018.04761904766,137734.38095238095,142120.0,146877.80952380953,149531.47619047618,0.13044317314180187,IA,3132499.0,38.1,58580.0,2.4260839877091156
210784.46153846156,228806.23076923078,254634.15384615387,277444.92307692306,298052.92307692306,0.4205599291479229,ID,1687809.0,36.1,53089.0,4.796363725934824
103386.77777777777,106452.5925925926,109277.74074074074,112247.62962962964,113626.03703703705,0.0963964654964162,IL,12821497.0,37.9,63575.0,1.7188791308020566
109792.05555555556,115751.30555555555,123712.05555555555,131135.30555555553,136857.02777777778,0.2417022368656169,IN,6637426.0,37.6,54325.0,2.2772582706959144
112077.65,115552.6,119558.15,123900.2,127267.5,0.12602412610926908,KS,2908776.0,36.5,57422.0,2.0820965831911113
108857.45,114973.85,120623.9,126589.2,129529.55,0.18333998122284811,KY,4440204.0,38.7,48392.0,2.4926413456769714
128942.76470588235,132823.9411764706,134140.64705882352,136322.64705882352,138872.0,0.07500429926461667,LA,4663616.0,36.6,47942.0,2.797977703450493
353137.2857142857,373475.4285714286,393894.5714285714,401236.4285714286,421934.0,0.1968394813228854,MA,6830193.0,39.4,77378.0,5.090524069226026
207440.16666666663,213161.5,222225.0,226711.5,232897.5,0.11591960564527864,MD,6003435.0,38.6,81868.0,2.7144305467337664
171304.75,184193.75,195224.0,202133.25,221704.5,0.2944324298488651,ME,1332813.0,44.6,55425.0,3.5223094271538113
122548.36363636365,130643.69696969698,139819.0303030303,147400.33333333337,154288.33333333337,0.25779734670887666,MI,9957488.0,39.7,54938.0,2.5450331337695276
165808.85,177306.0,187702.95,196270.3,202770.55,0.21999743773513186,MN,5527358.0,37.9,68411.0,2.743753928461797
115991.28,121582.48,127880.24,133264.56,138074.12,0.19005297390987685,MO,6090062.0,38.5,53560.0,2.3876071695295
105398.36842105264,105699.55,109713.9,114297.8,117285.65,0.125163252690388,MS,2988762.0,37.2,43567.0,2.5182798907429933
244305.2857142857,257414.1428571429,274634.71428571426,290309.5714285714,310503.2857142857,0.2541552058485338,MT,1041732.0,39.8,52559.0,5.225265212156134
147372.8205128205,153369.94871794872,161120.05128205128,168690.58974358975,176773.58974358978,0.19692005165140566,NC,10155624.0,38.6,52413.0,3.0740474935998945
205716.375,211231.75,211444.875,216876.875,217316.125,0.0630478286478874,ND,752201.0,35.1,63473.0,3.331256991161596
131178.66666666663,140017.25,148564.83333333337,156939.41666666663,160558.41666666663,0.2190568826244584,NE,1904760.0,36.4,59116.0,2.5131069986692838
202116.16666666663,213478.66666666663,225916.83333333328,234942.83333333328,249921.83333333328,0.2261795926207684,NH,1343622.0,42.7,74057.0,3.0505804087842243
224626.5,228851.5,238512.0,244014.75,264249.25,0.16858654448350796,NJ,8881845.0,39.8,79363.0,3.005329939644419
149747.29411764705,153285.76470588235,159321.23529411765,169862.0588235294,177432.41176470587,0.17435593745849515,NM,2092434.0,37.5,48059.0,3.3151175699477236
236536.33333333328,260125.5555555556,294705.11111111107,305050.55555555556,316904.66666666674,0.33909149339519484,NV,2922849.0,37.9,57598.0,5.116585838242839
139171.6923076923,144555.57692307697,151658.88461538462,157067.23076923078,163900.1923076923,0.17552330086650014,NY,19618453.0,38.7,65323.0,2.321676662360648
106253.17777777778,112307.15555555557,119248.71111111113,126287.57777777777,131578.08888888892,0.2347338415290089,OH,11641879.0,39.3,54533.0,2.186725672732311
92457.76190476194,94891.95238095238,98209.52380952383,101508.66666666669,105705.33333333331,0.14228800748970008,OK,3918137.0,36.4,51424.0,1.90979938957537
246387.73684210522,260579.4,279652.5,291921.45,308954.3,0.2824247760612923,OR,4081943.0,39.2,59393.0,4.708509420302056
129215.32352941176,134423.23529411765,140765.79411764705,146518.61764705885,152549.20588235295,0.1753169432633511,PA,12791181.0,40.7,59445.0,2.3680005739363623
278943.0,297855.0,317348.0,324112.0,347003.0,0.2439925002599097,RI,1056611.0,39.9,63296.0,5.013713346814964
146678.06666666668,153279.8,161401.86666666667,167576.46666666667,174840.2,0.19884325280657528,SC,4955925.0,39.2,51015.0,3.1638119507334443
161192.45454545456,170672.0,179053.18181818182,185884.0909090909,191191.9090909091,0.18500771031134133,SD,864289.0,36.8,56499.0,3.169138954993572
122634.38461538461,130442.76923076926,139705.61538461538,146868.11538461538,157236.07692307697,0.27486276939790283,TN,6651089.0,38.7,50972.0,2.740830561575284
125475.56060606061,132658.36363636365,139902.0294117647,146208.08823529413,149517.29411764705,0.1893434865863338,TX,27885195.0,34.4,59570.0,2.348531633569997
292877.2,317365.6,342779.6,365590.7,388375.2,0.32335390056791663,UT,3045350.0,30.7,68374.0,5.013303302424898
170787.0,177094.33333333337,183407.66666666663,191896.66666666663,197733.0833333333,0.14764579356580826,VA,8413774.0,38.1,71564.0,2.5628481731969512
220663.25,228454.25,239870.75,248904.75,255246.0,0.15386683037502108,VT,624977.0,42.9,60076.0,3.992788301484786
