RegionID,SizeRank,RegionName,RegionType,StateName,States,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20
102001,0,United States,Country,,,74,73,67,59,53,49,48,49,52,56,59,64,69,71,67,61,55,52,52,54,57,59,61,66,70,70,64,57,53,53,52,49,46
394913,1,"New York, NY",Msa,NY,New York,99,96,86,75,70,70,70,74,78,83,86,91,97,99,95,88,82,82,82,86,88,90,93,96,102,103,100,92,87,80,74,68,65
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,California,47,44,39,34,32,32,34,36,40,42,45,50,55,57,54,49,45,43,43,44,46,48,49,52,54,51,43,37,35,35,36,35,33
394463,3,"Chicago, IL",Msa,IL,Illinois,82,79,65,52,45,43,44,46,50,54,60,68,76,77,69,57,50,47,48,51,55,60,65,74,81,80,70,60,55,53,50,47,45
394514,4,"Dallas-Fort Worth, TX",Msa,TX,Texas,61,58,53,45,40,39,40,43,46,50,54,59,63,63,61,55,50,48,49,51,54,57,60,63,67,66,62,55,51,50,48,47,45
394974,5,"Philadelphia, PA",Msa,PA,Pennsylvania,77,83,78,68,60,56,54,53,54,56,59,64,69,69,62,53,46,44,45,48,50,51,53,59,65,64,55,48,44,42,37,34,33
394692,6,"Houston, TX",Msa,TX,Texas,74,71,66,57,50,47,47,49,53,58,62,66,69,77,73,68,56,53,53,56,59,63,66,71,75,74,66,59,55,56,55,53,50
395209,7,"Washington, DC",Msa,DC,Washington DC,67,68,62,51,45,39,38,37,38,42,46,53,58,55,45,36,31,31,34,37,39,39,43,48,52,49,39,30,27,28,28,26,24
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,Florida,88,87,82,80,79,80,78,76,76,78,79,81,87,91,91,88,86,85,84,88,89,88,87,89,91,92,88,84,81,81,83,82,80
394347,9,"Atlanta, GA",Msa,GA,Georgia,62,57,50,41,36,34,33,35,37,40,43,47,52,57,54,49,41,40,41,43,45,47,50,55,59,60,54,47,44,45,46,45,42
394404,10,"Boston, MA",Msa,MA,Massachusetts,48,47,40,30,24,22,24,28,30,33,37,43,49,49,44,35,29,27,29,33,35,37,40,48,54,51,39,29,26,27,27,25,25
395057,11,"San Francisco, CA",Msa,CA,California,30,27,23,19,18,19,21,23,25,27,30,36,39,38,33,29,27,27,28,30,31,32,34,40,42,38,29,24,24,26,26,26,25
394532,12,"Detroit, MI",Msa,MI,Michigan,55,54,48,38,30,26,26,28,31,36,41,47,53,57,54,46,38,34,34,37,40,45,49,56,63,65,58,53,46,44,37,33,31
395025,13,"Riverside, CA",Msa,CA,California,55,52,48,44,42,41,41,44,48,51,55,58,62,63,62,59,56,53,51,51,51,52,54,57,60,60,55,49,46,46,46,42,35
394976,14,"Phoenix, AZ",Msa,AZ,Arizona,59,59,57,54,54,51,51,50,49,48,50,53,56,56,55,53,51,49,47,45,44,42,42,45,46,46,41,36,35,36,37,36,32
395078,15,"Seattle, WA",Msa,WA,Washington,37,33,25,18,15,15,17,21,25,31,37,45,48,46,37,29,23,22,23,27,29,31,34,39,40,34,24,17,15,17,18,17,16
394865,16,"Minneapolis-St Paul, MN",Msa,MN,Minnesota,63,59,51,41,36,34,34,36,39,43,49,56,63,62,56,46,39,34,35,37,41,45,50,57,62,61,52,41,35,34,35,35,34
395056,17,"San Diego, CA",Msa,CA,California,45,42,39,36,36,38,41,44,46,48,51,55,58,60,57,52,47,43,43,46,48,50,50,54,56,52,43,37,36,37,34,31,28
395121,18,"St. Louis, MO",Msa,MO,Missouri,70,70,63,54,48,43,41,42,46,50,54,59,65,64,57,47,41,37,37,39,41,44,47,53,58,59,51,43,38,38,36,34,31
395148,19,"Tampa, FL",Msa,FL,Florida,57,57,54,50,46,44,44,45,48,49,49,50,53,55,56,54,53,52,51,51,50,52,53,55,55,54,48,44,42,44,44,40,35
394358,20,"Baltimore, MD",Msa,MD,Maryland,74,76,72,62,55,50,50,49,51,56,59,67,69,71,64,54,46,44,46,50,52,54,56,59,65,65,59,49,44,42,41,39,37
394530,21,"Denver, CO",Msa,CO,Colorado,38,35,28,22,19,19,20,23,28,31,35,41,44,42,37,30,27,26,29,32,35,38,40,44,45,41,32,25,23,24,25,24,23
