RegionID,SizeRank,RegionName,RegionType,StateName,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20
102001,0,United States,Country,,273786,271667,273167,279667,289333,296133,299600,299900,299600,299300,298833,297500,294467,291633,292966,298330,307313,315646,321950,322933,319933,315633,312300,307300,303267,299800,301466,306500,312666,320000,327833,335167,341133,343300
394913,1,"New York, NY",Msa,NY,523300,523267,528266,538266,549966,559967,566666,566666,560000,556333,556333,559333,556300,552633,551300,557967,567967,577967,584000,584000,580633,577300,577600,578967,579300,577667,579667,586333,594333,599300,606267,619933,636633,649966
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,792267,795533,798933,812600,829633,845975,848975,838675,820667,797667,781000,766000,756000,746300,746282,756282,775982,800667,820667,834300,842300,841967,841967,840967,844600,847967,862933,879633,879633,876000,884667,918000,948333,956667
394463,3,"Chicago, IL",Msa,IL,306300,300967,305967,319300,335600,345467,347433,343130,336263,329597,324267,317933,309600,303233,306567,318267,333300,343000,346300,344267,337900,331267,324800,318167,309833,304633,308966,318933,326330,330297,335297,343233,348233,349900
394514,4,"Dallas-Fort Worth, TX",Msa,TX,341330,341663,345000,351633,359633,365967,365667,359300,350630,344263,340930,339600,337967,335333,335633,340600,348267,354933,356300,354596,349596,344929,341633,339997,338330,335630,335168,336835,339501,343267,348597,355263,358297,359600
394974,5,"Philadelphia, PA",Msa,PA,255733,250767,248300,251667,259967,269633,277297,280630,279263,275767,273433,270133,264967,257333,253967,257967,267633,279000,287633,292933,293263,293297,293330,293300,289933,284900,284600,287600,292633,299300,309633,321267,328267,329633
394692,6,"Houston, TX",Msa,TX,321675,323342,326042,329600,334300,337966,339333,336300,331300,324967,321500,318167,316500,315000,316166,319500,324487,328320,329654,327958,324292,319625,316333,313998,311998,309665,309000,311833,314398,319398,323565,330000,334833,340000
395209,7,"Washington, DC",Msa,DC,442966,431966,431633,441667,453333,465333,475633,481300,477967,467997,461630,456597,449857,443190,443223,454967,471667,488204,496204,496171,489633,484967,484667,486333,484663,483327,488293,503263,513233,522933,531300,543000,549667,546000
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,395000,395000,395000,396167,397500,399000,399467,399633,399467,399167,398667,397333,396000,395000,395000,396000,397333,398967,399633,401622,401656,401654,399998,399998,400000,399967,399966,399966,399333,397833,397500,398133,399633,402633
394347,9,"Atlanta, GA",Msa,GA,304785,309273,314475,323323,335168,344667,349633,344933,337933,329633,324667,320300,316882,313515,313182,316600,326300,337633,344300,344600,339933,334900,330430,327130,325463,324297,324297,325997,327700,331467,337966,346900,354266,357600
394404,10,"Boston, MA",Msa,MA,545133,541833,545167,565667,585333,598926,596259,579925,558300,541300,537633,535667,531000,527967,533300,549967,570000,588000,594633,594600,586567,579932,574965,574998,573300,573300,581300,597667,605967,612933,620600,637267,647267,649900
395057,11,"San Francisco, CA",Msa,CA,813000,795000,815000,851333,894667,924667,935000,918333,876666,849666,841316,835983,815983,792629,796296,824963,863333,896333,904333,899333,879667,879333,885667,895333,878997,862330,874330,899667,916333,924667,948601,981934,997934,998667
394532,12,"Detroit, MI",Msa,MI,226633,219933,218267,224633,238000,253000,263000,264633,259600,251567,244600,237933,231267,226567,226567,233233,246567,259900,269900,271267,266463,257463,247763,239267,231600,224967,221633,225000,231633,243266,258233,273233,281567,278233
395025,13,"Riverside, CA",Msa,CA,389891,389965,392665,396000,402667,406650,409983,409950,406633,403300,399966,399633,398800,398500,398800,402967,408300,415000,419967,423300,423300,420000,416667,414967,413630,413630,416993,422959,426293,427963,434963,448296,464629,476333
394976,14,"Phoenix, AZ",Msa,AZ,327883,329883,336000,343000,348000,350000,349833,347467,343800,340300,337953,336619,336119,337500,340800,344933,349600,353933,356967,358600,359267,360433,361800,364833,367300,372633,377967,384333,379667,375679,375679,386679,395583,399216
395078,15,"Seattle, WA",Msa,WA,499650,508316,528000,559667,584633,598283,599600,592633,580983,568000,564667,562000,561983,563983,578300,601650,626650,643000,645500,637167,625817,618300,616630,618297,621647,631633,648300,664965,664648,661315,661300,669967,672983,664667
394865,16,"Minneapolis-St Paul, MN",Msa,MN,329933,341300,357933,372933,378267,376600,369000,360667,353700,346333,342667,337967,337967,344633,358000,373906,382539,383172,377233,370600,364800,358133,353100,349900,351267,357633,367667,377967,381300,381267,381267,381567,379900,371600
395056,17,"San Diego, CA",Msa,CA,697667,697667,711000,724333,741000,742667,742753,733087,719420,701333,687667,679333,675900,674567,679529,687962,707962,725000,738300,738300,738300,740667,738967,737133,734467,737500,746000,761067,764400,764383,769650,801150,822833,822833
395121,18,"St. Louis, MO",Msa,MO,193800,190933,191267,196433,204800,213133,218267,219600,219267,218967,217633,214633,209600,205567,207233,215900,227933,237933,242967,244297,242630,240930,238233,234900,229933,228267,231600,236567,240900,245900,252567,257597,255930,252463
395148,19,"Tampa, FL",Msa,FL,270900,269797,269797,271497,274963,279996,283296,283266,279933,276600,273297,271597,269131,268133,268133,271423,277423,285456,290967,292600,291267,289933,289633,287967,286000,283490,283490,284657,284167,285800,289633,296300,302666,306333
394358,20,"Baltimore, MD",Msa,MD,307967,302633,299600,304600,313267,326600,338130,346130,346130,341600,335267,328633,320000,313333,311633,316633,326633,338333,346667,350000,349967,346600,341600,334633,327967,322933,322933,329600,337933,345767,352736,359436,361602,358000
394530,21,"Denver, CO",Msa,CO,,,,,,,,,,491666,483333,476667,473333,478000,488000,504633,516633,523300,521667,518000,511333,504633,499300,499133,499800,508800,525600,541633,544967,541667,541667,546667,549967,543300
394982,22,"Pittsburgh, PA",Msa,PA,173300,171633,169933,173233,177267,183133,184833,184167,181633,179933,178267,175800,172467,170767,170767,175133,181800,189967,195600,198933,199900,199600,196267,191300,185933,184267,187567,193233,198233,204933,214967,227300,232300,232267
394998,23,"Portland, OR",Msa,OR,476600,478600,485267,491950,498316,499983,499966,496600,489900,481567,474900,471567,469900,471600,474950,481617,486617,489953,489953,487953,484626,479659,475659,472333,472333,475500,484467,492124,492924,493624,497633,509633,516633,521633
394458,24,"Charlotte, NC",Msa,NC,339967,337967,338000,343000,349667,356300,359300,356300,350500,343333,336667,331543,327376,325710,328333,335000,343333,351633,356300,356300,352663,347630,344297,341300,341333,342070,345403,349903,352167,356993,362827,374823,379997,381630
395045,25,"Sacramento, CA",Msa,CA,459500,461500,467330,475663,483963,488267,488233,483267,477967,469633,462967,454967,451667,453967,463300,478967,491633,501967,509633,516300,519267,515335,508668,502668,503267,508300,516667,523000,523000,522667,524667,534633,543300,554963
395055,26,"San Antonio, TX",Msa,TX,279600,279600,279933,282966,288000,294333,297663,297630,292963,287600,282633,280966,280333,280330,280297,281630,284963,289963,292797,292767,289467,286438,283135,281135,278963,278237,278537,281870,285600,289219,293219,296886,299730,298096
394943,27,"Orlando, FL",Msa,FL,299870,299837,302870,309300,317633,322967,324967,324967,323267,319933,314892,308259,303226,299933,299933,303300,310000,318333,323333,325000,325000,325330,325330,325330,324997,324663,325997,327667,324667,321633,319967,324800,327833,329467
