RegionID,SizeRank,RegionName,RegionType,StateName,4/30/08,5/31/08,6/30/08,7/31/08,8/31/08,9/30/08,10/31/08,11/30/08,12/31/08,1/31/09,2/28/09,3/31/09,4/30/09,5/31/09,6/30/09,7/31/09,8/31/09,9/30/09,10/31/09,11/30/09,12/31/09,1/31/10,2/28/10,3/31/10,4/30/10,5/31/10,6/30/10,7/31/10,8/31/10,9/30/10,10/31/10,11/30/10,12/31/10,1/31/11,2/28/11,3/31/11,4/30/11,5/31/11,6/30/11,7/31/11,8/31/11,9/30/11,10/31/11,11/30/11,12/31/11,1/31/12,2/29/12,3/31/12,4/30/12,5/31/12,6/30/12,7/31/12,8/31/12,9/30/12,10/31/12,11/30/12,12/31/12,1/31/13,2/28/13,3/31/13,4/30/13,5/31/13,6/30/13,7/31/13,8/31/13,9/30/13,10/31/13,11/30/13,12/31/13,1/31/14,2/28/14,3/31/14,4/30/14,5/31/14,6/30/14,7/31/14,8/31/14,9/30/14,10/31/14,11/30/14,12/31/14,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20
102001,0,United States,Country,,196942,198275,200133,201667,202000,198028,194028,189695,187500,183820,179820,176320,174708,176008,179341,182933,184300,181633,178333,175667,176333,176667,175000,173667,172000,173667,176000,181500,184833,184167,180667,178000,177967,175633,173133,169167,168833,169667,173333,176133,177133,174133,170667,168333,168000,166283,163617,162783,166333,172333,178700,182867,185033,183133,180800,179900,181600,180600,178333,177833,181833,188500,195667,201667,204333,201667,198667,195667,196667,194667,193300,191633,194300,199000,204085,208085,210085,207667,204333,202633,204267,204267,202633,202333,205667,211500,216833,220333,220667,218000,214969,213802,215469,215000,212667,211000,214261,219928,224928,228000,229000,227333,226000,225333,226667,225667,224333,223667,226998,231332,237332,240000,241667,239327,237660,236975,237648,237648,237667,238667,242000,245833,249833,251500,251633,248300,246300,244833,245833,245500,244500,245167,248500,254333,259333,262500,262500,259500,257167,256500,257833,257333,257967,259633,263967,265607,268107,273773,280667
394913,1,"New York, NY",Msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347333,349833,355833,366833,375167,380000,378333,372500,366667,360083,356750,352583,350833,347500,353333,363333,376667,388000,389667,384667,371667,365000,366667,368333,365000,359000,360667,369667,380667,390333,389667,383000,373333,370000,373000,374667,373000,370000,371333,381333,390000,397000,395417,388417,380083,375317,375300,375300,373983,373167,375500,384833,395667,405000,403400,398067,389733,384667,383333,384333,385333,388667,394333,406667,418860,425526,423860,413000,404667,399667,400000,399947,398280,398280,403261,413261,423261,428333,426667,419382,412716,406716,407333,407333,406667,406667,410000,421667,431667,436667,434167,428983,423979,421479,420995,422250,422250,426250,429983,438317,442733,449417
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,503000,495667,489000,480667,468333,454333,442667,432667,426667,410667,405667,399000,399667,403000,410333,418667,417000,416333,411667,410000,403333,400000,393167,393167,393167,401667,401667,405000,401333,403000,398000,396667,391667,386667,380000,380000,385000,391000,393667,395333,391000,386667,376667,371667,363333,356833,353500,357833,370667,380667,388000,391667,394667,395000,395001,397001,403334,403333,403667,410333,433667,456667,471667,475000,476667,475000,473333,473333,476667,475833,477500,480833,491333,502501,509168,515501,517667,516417,513583,509917,507833,504667,506833,512833,522833,528333,534667,536333,538667,533333,530833,529500,535833,538750,539583,541250,550167,562667,571000,573000,571333,568000,568333,570000,571667,570000,568333,575000,586667,600000,608000,614333,616000,617000,612667,613167,612500,610167,613000,618000,630000,638333,645667,649000,649000,643333,640000,636667,633333,626667,623000,628000,639667,645000,649500,656167,657833,656667,650000,650000,651667,653333,656000,664000,667333,664667,665500,680500,705500
394463,3,"Chicago, IL",Msa,IL,248333,248333,251333,254500,256167,252833,245000,235000,228667,222000,215333,211667,211667,216000,219333,221100,221767,217100,211000,204333,200667,198667,194333,194333,196000,202833,209500,212500,215533,208867,205433,196567,193483,186917,182917,176500,178167,180167,188000,193000,196667,190000,180000,169333,164333,158667,154333,156000,163333,173500,184500,191167,193000,186000,175000,168333,164333,161333,155667,155333,164000,178333,194917,206250,211750,206333,197133,188300,182467,179000,174000,175000,180833,194333,208333,217500,222500,216167,207000,196167,190833,187333,183667,186667,196667,210333,220167,224467,223800,217633,210333,203667,200000,195667,191665,194082,205082,219000,227583,229917,228333,221000,214333,209167,208500,207000,205833,210667,220500,230833,238333,240000,238233,230567,223233,218333,217625,216625,217458,220833,228833,236333,242967,244300,241967,235000,228000,224667,221667,219667,219333,223500,231500,239500,245167,248167,246833,242000,236000,232417,230750,228083,226000,232000,244333,253000,255000,255667,262000
394514,4,"Dallas-Fort Worth, TX",Msa,TX,150483,154132,156278,158745,159430,155967,152600,148267,146634,142497,141647,141647,144483,148667,153667,157883,158550,155217,151667,148000,146667,143000,142683,144017,149517,152167,155467,157633,160967,158833,155167,150833,151333,150667,150407,147708,148542,150468,153833,157172,158428,156428,153223,149467,151025,149392,150259,151356,156356,161989,166332,169332,169332,167333,164667,162667,163207,162540,162540,163333,170300,177633,183633,187000,187667,185000,181167,178667,179000,176133,176467,178055,183922,189422,195500,200000,201667,197000,193333,191333,194667,194633,195633,197633,205833,213500,219881,221715,221015,215967,212633,209829,211793,209724,211639,214675,222744,230967,237800,240800,240333,236500,235833,235333,237333,236500,239116,242449,249616,256333,261000,261667,259333,254667,252667,250667,254000,252667,253667,255333,261667,268333,273333,276333,273667,267000,261333,258333,259967,257600,257933,258633,265031,272031,277364,280000,278333,274000,271667,270000,271667,270000,271300,272967,279633,281667,285000,290000,296667
394974,5,"Philadelphia, PA",Msa,PA,220233,224232,228998,237298,241967,238967,230667,224333,220000,217333,212300,208967,207633,209667,215833,222545,227211,224711,218667,212000,210000,209583,210917,209250,211333,211667,218333,225000,230833,231833,226833,221565,218199,214865,212300,207667,207333,207633,215300,222300,227333,222500,215167,208833,207000,204333,201000,195333,197000,203333,215540,224540,229540,225667,219000,215583,215238,213655,207071,203290,204907,211574,223033,233083,239750,235750,228300,221617,219283,216150,209500,206500,207667,214333,223768,232036,237989,233220,226953,222083,220917,217917,210167,207000,208650,216650,226317,233567,235567,232567,227283,223950,218950,213917,210583,208917,213333,220865,232532,240700,243135,238135,233176,228542,228542,225333,221000,217633,221800,230800,242500,248333,250000,242000,235333,230333,231150,227817,224483,223333,228333,235667,242333,248000,252333,250333,243917,237817,235483,234233,230333,231333,235940,244607,252940,260667,264467,259467,252467,248333,248333,246517,243183,243183,253333,260417,266750,269417,275633
394692,6,"Houston, TX",Msa,TX,152607,154519,157362,160895,162283,161300,156506,149873,144373,141000,139667,141333,145438,151505,157338,162733,165290,162844,157894,153271,151567,150517,150183,150333,153000,154390,156724,157724,159967,158835,156168,153900,155032,153032,151633,150633,151933,154550,156217,159583,161500,159833,158167,155667,157200,153867,150517,149983,156875,164392,169392,170833,169967,166177,164260,165127,167861,165778,162944,163333,172200,180867,186867,188667,189000,186667,182967,180967,181467,180833,180500,178633,182633,186300,193000,196667,203333,203000,201283,197391,201058,201775,202300,200633,203617,209354,215688,220371,220998,216332,211826,206828,209080,208017,208351,207098,211565,217518,222685,227120,227833,225000,220000,218667,220333,218821,217158,217824,223337,228328,231662,232662,231667,229333,228333,227333,226060,223226,222893,224167,231330,237330,241330,242333,241000,237167,233125,231173,234339,232879,232164,232165,237728,243395,247725,249663,249997,246333,243166,242166,244833,243667,244000,243330,248663,249163,253167,258833,264817
395209,7,"Washington, DC",Msa,DC,365592,368592,375258,381350,380017,367200,348850,333850,329667,329667,324667,320000,315000,318644,323644,335311,339512,336179,324512,314967,311748,304789,301156,299707,308333,318333,326449,336418,336752,337859,332223,333828,334272,326605,323300,319967,326750,335117,343450,353000,353000,349667,335707,327373,323400,320693,315360,316000,327320,344302,356677,365690,364042,356667,348000,346333,348350,347017,342474,343790,351124,366997,379997,389330,388000,378333,369983,364983,367317,365333,362000,358799,362466,376632,386860,396860,393693,384333,374333,368031,374697,371364,368667,367000,375333,388000,391872,393505,387172,382967,376000,374333,373000,368573,365240,361906,372903,382903,394236,394667,391333,384000,380333,376000,380333,378558,377891,372891,381622,394210,405876,409055,406433,398098,388965,384327,389329,388662,388333,388300,398300,409633,416000,417801,414467,407353,400552,397219,401333,399000,397667,397667,407283,418117,423117,425833,423000,414667,406333,406667,412500,409133,407467,413300,430000,435917,435917,442583,448333
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,266883,265267,264233,264000,264333,257267,247933,235933,230667,220667,211000,198333,190000,185000,186667,193333,195000,191667,185000,180000,178333,173683,168683,163683,160000,163317,164983,169917,169267,166933,165333,162667,161000,155967,151967,145967,146000,150000,156667,159667,158000,154000,149717,148050,149383,149000,147333,145000,147167,152167,160500,166667,169667,169667,168083,168500,170167,171750,170667,170667,175667,185000,195000,203167,208167,208167,204667,204517,206183,206517,201667,201667,203333,214167,222500,232500,233333,230000,228333,228333,231000,230167,228967,229600,230433,236633,241667,248333,248333,245000,239000,235667,239000,240000,240000,235667,238000,243000,250233,254567,255217,254983,254983,255667,255667,254000,252667,251667,255000,259367,267700,271167,275133,271467,268000,266333,266667,268333,266667,269467,272767,277767,281633,283333,283333,280000,280000,281565,282098,278765,274533,275083,278417,282750,287867,292200,293867,289667,290000,292167,295167,293833,293333,296667,303333,308333,312667,317667,326000
394347,9,"Atlanta, GA",Msa,GA,184417,187083,190283,192550,191550,184883,179132,172815,169648,165350,160662,158146,155979,157817,161267,167100,169100,165333,160700,157367,157033,150967,143300,137933,141300,148967,152700,152183,147633,143933,138478,136028,136694,139300,135967,130300,126300,128300,133300,138333,145000,145833,144833,141500,139500,135467,133633,136662,146662,157828,166104,169801,168716,165245,159415,157833,159500,158333,161667,166592,177926,186892,193633,198933,196633,190300,183483,179983,182983,183133,182800,183300,188333,197167,202667,205267,202767,197267,192000,189500,191000,190667,191333,192000,198333,206667,212333,215667,211464,206464,199797,198500,201833,201833,201483,200732,207398,213915,217767,218767,215093,210327,205993,206633,210504,210504,210204,211275,216382,221715,225107,227333,226000,222667,220333,221300,225883,225883,226883,228062,234728,241428,245667,246667,243716,242049,241399,242017,241961,241277,241056,242112,245778,252633,257467,260800,258333,255467,252133,252633,253333,251667,252667,255667,265667,267703,269370,271037,277333
